,dayl,prcp,srad,swe,tmax,tmin,vp,TM
1827,35829.19,0.0,248.62,0.0,24.91,11.91,1393.06,1985-01-01
1828,35899.58,1.15,194.05,0.0,23.33,13.62,1560.4,1985-01-02
1829,35940.49,35.04,129.44,0.0,16.72,8.92,1153.85,1985-01-03
1830,35942.39,16.18,197.4,0.0,12.64,0.14,615.01,1985-01-04
1831,35942.39,0.0,207.17,0.0,6.52,-2.45,511.8,1985-01-05
1832,35942.39,0.0,309.51,0.0,10.44,-5.48,412.42,1985-01-06
1833,35942.39,0.0,315.91,0.0,14.38,-2.48,508.95,1985-01-07
1834,35969.37,0.0,310.1,0.0,15.15,-1.05,568.86,1985-01-08
1835,36086.32,0.0,321.21,0.0,14.35,-2.82,497.94,1985-01-09
1836,36213.67,0.0,278.78,0.0,13.91,0.62,640.0,1985-01-10
1837,36286.1,0.0,243.94,0.0,13.45,2.47,729.7,1985-01-11
1838,36288.0,0.0,281.18,0.0,10.08,-2.94,492.68,1985-01-12
1839,36288.0,0.0,290.12,0.0,8.6,-4.88,429.65,1985-01-13
1840,36288.0,0.0,305.59,0.0,11.72,-3.03,480.04,1985-01-14
1841,36349.18,0.0,299.69,0.0,11.65,-2.5,520.0,1985-01-15
1842,36520.41,0.0,343.05,0.0,12.57,-5.72,402.54,1985-01-16
1843,36633.61,8.86,194.69,0.0,13.51,2.02,712.73,1985-01-17
1844,36633.61,0.1,269.89,0.0,12.89,0.94,649.41,1985-01-18
1845,36633.61,0.0,256.56,0.0,12.66,1.57,686.22,1985-01-19
1846,36660.57,0.0,359.55,0.0,12.61,-6.95,361.25,1985-01-20
1847,36866.02,0.0,350.42,0.0,-1.89,-18.95,134.93,1985-01-21
1848,36979.2,0.0,353.82,0.0,3.95,-13.52,202.24,1985-01-22
1849,36979.2,0.0,329.01,0.0,7.69,-7.43,360.0,1985-01-23
1850,36979.2,0.0,299.49,0.0,8.21,-4.68,439.27,1985-01-24
1851,37079.99,0.29,280.11,0.0,11.59,-0.22,600.0,1985-01-25
1852,37305.85,0.0,374.08,0.0,13.25,-6.63,370.19,1985-01-26
1853,37324.8,0.0,361.58,0.0,9.07,-8.44,319.75,1985-01-27
1854,37324.8,2.79,227.89,0.0,10.71,0.38,626.11,1985-01-28
1855,37386.02,0.0,342.52,0.0,12.3,-3.26,479.88,1985-01-29
1856,37651.44,0.0,309.5,0.0,11.52,-1.48,551.31,1985-01-30
1857,37670.39,11.75,254.12,0.0,22.7,6.4,952.02,1985-01-31
1858,37670.39,10.55,164.97,0.0,24.36,15.09,1717.38,1985-02-01
1859,37771.18,52.16,187.15,0.0,18.4,8.28,1102.11,1985-02-02
1860,38014.09,0.0,325.77,0.0,13.04,-0.76,580.01,1985-02-03
1861,38015.99,4.12,190.41,0.0,9.79,1.47,677.94,1985-02-04
1862,38015.99,36.08,143.53,0.0,10.11,3.25,772.12,1985-02-05
1863,38203.1,59.78,177.98,0.0,13.04,4.4,839.39,1985-02-06
1864,38361.61,1.69,289.53,0.0,10.45,-1.39,554.99,1985-02-07
1865,38361.61,0.0,363.27,0.0,10.12,-4.48,439.96,1985-02-08
1866,38388.57,0.0,391.27,0.0,12.59,-4.49,439.35,1985-02-09
1867,38705.3,0.0,411.39,0.0,15.97,-3.86,456.52,1985-02-10
1868,38707.2,0.0,369.78,0.0,17.16,1.49,680.02,1985-02-11
1869,38707.2,11.45,299.27,0.0,15.92,-2.06,529.09,1985-02-12
1870,38978.47,0.0,326.27,0.0,8.83,-3.23,481.93,1985-02-13
1871,39052.8,0.0,368.72,0.0,10.72,-3.79,460.11,1985-02-14
1872,39052.8,0.0,388.18,0.0,11.11,-4.54,440.0,1985-02-15
1873,39196.67,0.0,420.58,0.0,11.99,-6.74,368.25,1985-02-16
1874,39398.37,0.0,427.19,0.0,15.55,-4.28,440.36,1985-02-17
1875,39398.37,0.0,407.42,0.0,18.3,0.23,621.35,1985-02-18
1876,39459.59,0.0,376.98,0.0,20.69,4.98,878.6,1985-02-19
1877,39744.01,0.0,378.05,0.0,22.38,6.61,970.96,1985-02-20
1878,39744.01,0.0,379.99,0.0,20.64,5.2,888.86,1985-02-21
1879,39747.81,0.0,372.75,0.0,22.77,7.68,1054.54,1985-02-22
1880,40089.58,0.0,347.64,0.0,24.56,10.82,1305.89,1985-02-23
1881,40089.58,0.0,347.18,0.0,25.13,11.39,1351.33,1985-02-24
1882,40089.58,10.13,224.87,0.0,24.62,13.6,1568.3,1985-02-25
1883,40435.2,4.47,190.17,0.0,23.93,15.1,1720.01,1985-02-26
1884,40435.2,5.64,199.67,0.0,21.76,12.71,1467.05,1985-02-27
1885,40435.2,0.0,384.94,0.0,20.0,5.87,929.19,1985-02-28
1886,40780.79,0.0,378.04,0.0,20.39,6.76,981.48,1985-03-01
1887,40780.79,7.09,229.7,0.0,17.99,9.96,1237.01,1985-03-02
1888,40780.79,0.0,416.25,0.0,22.0,6.17,945.7,1985-03-03
1889,41126.38,0.0,402.17,0.0,25.01,9.66,1212.54,1985-03-04
1890,41126.38,1.09,362.75,0.0,25.22,11.55,1363.85,1985-03-05
1891,41126.38,0.0,430.0,0.0,21.74,5.16,887.63,1985-03-06
1892,41471.98,0.0,423.24,0.0,22.47,6.15,940.42,1985-03-07
1893,41471.98,0.0,432.51,0.0,24.94,7.42,1033.98,1985-03-08
1894,41475.78,0.0,420.08,0.0,27.34,10.27,1261.84,1985-03-09
1895,41817.59,0.0,415.43,0.0,26.22,9.76,1220.88,1985-03-10
1896,41817.59,0.0,435.6,0.0,26.12,8.48,1118.73,1985-03-11
1897,41961.48,0.0,322.15,0.0,25.91,14.58,1653.07,1985-03-12
1898,42163.18,0.0,460.48,0.0,25.0,6.19,947.08,1985-03-13
1899,42163.18,0.0,423.7,0.0,26.11,9.92,1233.2,1985-03-14
1900,42508.81,0.0,420.94,0.0,26.06,10.08,1246.27,1985-03-15
1901,42508.81,5.59,240.15,0.0,18.64,8.34,1106.92,1985-03-16
1902,42508.81,10.87,193.74,0.0,16.08,8.28,1102.16,1985-03-17
1903,42854.38,0.0,420.21,0.0,17.66,3.64,795.29,1985-03-18
1904,42854.38,0.0,507.07,0.0,18.44,-1.53,547.01,1985-03-19
1905,42854.38,0.0,509.82,0.0,21.46,0.79,642.27,1985-03-20
1906,43199.99,10.14,285.55,0.0,21.57,9.22,1177.97,1985-03-21
1907,43199.99,1.69,246.66,0.0,20.35,12.09,1407.07,1985-03-22
1908,43199.99,0.0,433.61,0.0,21.8,7.39,1030.81,1985-03-23
1909,43545.61,1.61,351.9,0.0,22.56,10.17,1253.88,1985-03-24
1910,43545.61,0.0,449.28,0.0,22.83,7.69,1055.18,1985-03-25
1911,43545.61,0.0,517.68,0.0,23.34,3.1,766.66,1985-03-26
1912,43891.19,0.0,497.03,0.0,24.72,5.94,931.11,1985-03-27
1913,43891.19,0.0,400.24,0.0,26.97,13.4,1539.67,1985-03-28
1914,43891.19,0.0,383.53,0.0,28.5,15.39,1750.91,1985-03-29
1915,44236.79,0.0,430.39,0.0,29.0,13.64,1569.55,1985-03-30
1916,44236.79,0.0,375.16,0.0,27.73,15.22,1734.12,1985-03-31
1917,44395.31,1.87,465.24,0.0,24.27,5.65,915.72,1985-04-01
1918,44582.41,0.0,485.38,0.0,20.73,3.62,794.0,1985-04-02
1919,44582.41,0.0,531.81,0.0,22.36,1.34,671.41,1985-04-03
1920,44901.07,0.0,492.7,0.0,26.98,8.2,1096.38,1985-04-04
1921,44927.98,0.0,413.41,0.0,26.52,12.39,1431.47,1985-04-05
1922,44927.98,23.76,324.64,0.0,23.9,9.31,1184.49,1985-04-06
1923,45273.6,0.0,468.77,0.0,24.79,8.38,1110.57,1985-04-07
1924,45273.6,0.0,487.55,0.0,25.16,7.65,1051.67,1985-04-08
1925,45273.6,0.0,498.77,0.0,20.02,2.67,739.68,1985-04-09
1926,45619.19,0.0,516.87,0.0,19.87,1.41,674.97,1985-04-10
1927,45619.19,0.0,518.64,0.0,22.95,3.72,799.02,1985-04-11
1928,45619.19,0.0,433.74,0.0,24.47,10.02,1241.85,1985-04-12
